Date,Time,Group nr.,Total,Lying ad.m,Lying ad.f,Lying y,Lying us,Feed ad.m,Feed ad.f,Feed y,Feed us,Other ad.m,Other ad.f,Other y,Other us,,,,,,,
26-Mar,13:30,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,13:30,9,3,0,1,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,13:40,1,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
26-Mar,13:40,2,5,0,0,0,0,0,2,1,0,0,2,0,0,,,,,,,
26-Mar,13:40,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:40,5,3,0,1,0,0,0,0,0,0,0,2,0,0,,,,,,,
26-Mar,13:40,6,2,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,
26-Mar,13:40,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,13:40,9,3,0,1,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,13:50,1,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
26-Mar,13:50,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:50,5,7,0,1,0,0,0,2,0,1,1,1,1,0,,,,,,,
26-Mar,13:50,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,13:50,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,13:50,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,13:50,9,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,14:00,1,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
26-Mar,14:00,2,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,14:00,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,14:00,5,7,0,1,0,0,0,2,1,0,1,2,0,0,,,,,,,
26-Mar,14:00,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,14:00,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,14:00,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,14:00,9,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,14:10,1,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,
26-Mar,14:10,2,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,14:10,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,14:10,5,7,0,2,0,0,0,3,1,0,1,0,0,0,,,,,,,
26-Mar,14:10,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,14:10,7,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
26-Mar,14:10,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,14:10,9,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,14:20,1,2,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,
26-Mar,14:20,5,9,0,0,0,0,1,5,1,0,0,2,0,0,,,,,,,
26-Mar,14:20,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,14:20,7,3,0,0,0,0,1,0,2,0,0,0,0,0,,,,,,,
26-Mar,14:20,8,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
26-Mar,14:20,9,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,14:30,5,9,0,0,0,0,1,7,1,0,0,0,0,0,,,,,,,
26-Mar,14:30,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,14:30,7,5,0,0,0,0,0,0,2,0,1,2,0,0,,,,,,,
26-Mar,14:30,8,6,0,0,0,1,0,0,0,5,0,0,0,0,,,,,,,
26-Mar,14:30,9,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,14:40,5,9,0,0,0,0,1,5,0,0,0,2,1,0,,,,,,,
